,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1332,NCAA Football 2003,PS2,2002,Sports,Electronic Arts,1160000,80000,0,190000,1440000
1333,Frogger 2: Swampy's Revenge,PS,1999,Action,Hasbro Interactive,800000,540000,0,90000,1430000
1334,Disney Infinity,X360,2013,Action,Disney Interactive Studios,960000,370000,0,110000,1430000
1335,LEGO Indiana Jones 2: The Adventure Continues,Wii,2009,Action,Activision,910000,390000,0,130000,1430000
1336,Sonic's Ultimate Genesis Collection,X360,2009,Misc,Sega,850000,460000,0,130000,1430000
1337,Tiger Woods PGA Tour 09 All-Play,Wii,2008,Sports,Electronic Arts,810000,480000,0,140000,1430000
1338,Disney's DuckTales,GB,1988,Platform,Capcom,820000,230000,350000,30000,1430000
1339,Classic NES Series: Super Mario Bros.,GBA,2004,Platform,Nintendo,0,0,1390000,30000,1430000
1340,Triple Play 2000,PS,1999,Sports,Electronic Arts,790000,540000,0,90000,1430000
1341,Dragon Quest VII: Warriors of Eden,3DS,2013,Role-Playing,Square Enix,70000,40000,1300000,10000,1420000
1342,Cabela's Big Game Hunter,PS2,2002,Sports,Activision,700000,540000,0,180000,1420000
1343,UFC Undisputed 2010,PS3,2010,Fighting,THQ,800000,410000,20000,190000,1420000
1344,NBA Live 06 (Weekly american sales),PS2,2005,Sports,Electronic Arts,1350000,50000,0,20000,1420000
1345,The Legend of Zelda: The Minish Cap,GBA,2004,Action,Nintendo,890000,220000,220000,100000,1420000
1346,NFL Street,PS2,2004,Sports,Electronic Arts,1150000,80000,0,190000,1420000
1347,Sonic Generations,X360,2011,Platform,Sega,710000,570000,0,140000,1420000
1348,Super Metroid,SNES,1994,Action,Nintendo,570000,120000,710000,20000,1420000
1349,Pro Yakyuu Family Stadium '87,NES,1987,Sports,Namco Bandai Games,120000,0,1300000,0,1420000
1350,Dead Space,X360,2008,Action,Electronic Arts,890000,400000,0,130000,1420000
1351,Resident Evil (Remake),GC,2002,Action,Capcom,630000,380000,350000,50000,1420000
1352,Inazuma Eleven 2,DS,2009,Role-Playing,Nintendo,0,210000,1180000,30000,1420000
1353,Tomb Raider (2013),PS4,2014,Action,Square Enix,470000,640000,60000,250000,1410000
1354,LEGO Star Wars II: The Original Trilogy,PSP,2006,Action,LucasArts,580000,510000,0,320000,1410000
1355,Toy Story 3: The Video Game,Wii,2010,Action,Disney Interactive Studios,640000,630000,0,140000,1410000
1356,Fight Night Round 4,X360,2009,Fighting,Electronic Arts,950000,340000,0,130000,1410000
1357,LEGO Star Wars: The Video Game,GC,2005,Action,Eidos Interactive,1090000,280000,0,40000,1410000
1358,Injustice: Gods Among Us,X360,2013,Fighting,Warner Bros. Interactive Entertainment,970000,340000,0,110000,1410000
1359,Madden NFL 15,PS3,2014,Sports,Electronic Arts,1070000,150000,0,190000,1410000
1360,Disney's The Lion King,GEN,1994,Platform,Virgin Interactive,970000,370000,30000,50000,1410000
1361,Ridge Racer,PSP,2004,Racing,Sony Computer Entertainment,360000,450000,320000,280000,1410000
1362,Metroid: Other M,Wii,2010,Action,Nintendo,870000,310000,130000,100000,1410000
1363,Knockout Kings 2000,PS,1999,Fighting,Electronic Arts,1020000,340000,0,50000,1410000
1364,Gran Turismo 4 Prologue,PS2,2003,Racing,Sony Computer Entertainment,0,470000,770000,170000,1410000
1365,Twisted Metal: Black,PS2,2001,Racing,Sony Computer Entertainment,1190000,170000,0,50000,1410000
1366,NASCAR 2005: Chase for the Cup,PS2,2004,Racing,Electronic Arts,690000,540000,0,180000,1410000
1367,Call of Duty: Black Ops,Wii,2010,Shooter,Activision,820000,470000,0,120000,1400000
1368,Spider-Man: The Movie,XB,2002,Action,Activision,1070000,280000,0,50000,1400000
1369,Need For Speed: Undercover,PS2,2008,Racing,Electronic Arts,380000,80000,30000,930000,1400000
1370,2Xtreme,PS,1996,Sports,Sony Computer Entertainment,1150000,200000,0,50000,1400000
1371,Far Cry 2,PS3,2008,Action,Ubisoft,430000,700000,10000,270000,1400000
1372,Sonic Advance 3,GBA,2004,Platform,THQ,740000,520000,80000,60000,1400000
1373,Final Fantasy III,NES,1990,Role-Playing,SquareSoft,0,0,1390000,10000,1400000
1374,Battlefield 4,PC,2013,Shooter,Electronic Arts,380000,860000,0,160000,1400000
1375,Colin McRae Rally 3,PS2,2002,Racing,Codemasters,30000,1050000,20000,300000,1400000
1376,Madden NFL 2002,PS,2001,Sports,Electronic Arts,780000,530000,0,90000,1390000
1377,Doom (2016),PS4,2016,Shooter,Bethesda Softworks,490000,660000,20000,220000,1390000
1378,Final Fantasy XII: Revenant Wings,DS,2007,Role-Playing,Square Enix,340000,420000,540000,100000,1390000
1379,Bakugan: Battle Brawlers,DS,2009,Action,Activision,1270000,20000,0,90000,1390000
1380,Deus Ex: Human Revolution,PS3,2011,Shooter,Square Enix,500000,600000,70000,230000,1390000
1381,NBA Jam,SNES,1994,Sports,Acclaim Entertainment,1190000,160000,0,30000,1390000
1382,Teenage Mutant Ninja Turtles III: The Manhattan Project,NES,1991,Action,Konami Digital Entertainment,1050000,170000,150000,20000,1390000
1383,Dynasty Warriors 5,PS2,2005,Action,Tecmo Koei,240000,180000,910000,60000,1390000
1384,Hannah Montana: Spotlight World Tour,Wii,2007,Action,Disney Interactive Studios,870000,380000,0,130000,1390000
1385,WWE '13,PS3,2012,Action,THQ,510000,620000,0,260000,1390000
1386,Deus Ex: Human Revolution,X360,2011,Shooter,Square Enix,760000,480000,20000,120000,1390000
1387,True Crime: Streets of LA,XB,2003,Action,Activision,960000,370000,0,50000,1380000
1388,The Sims 2,PSP,2005,Simulation,Electronic Arts,490000,560000,0,330000,1380000
1389,Paper Mario,N64,2000,Role-Playing,Nintendo,580000,180000,590000,20000,1380000
1390,Bravely Default: Flying Fairy,3DS,2012,Role-Playing,Nintendo,500000,320000,490000,70000,1380000
1391,Titanfall,X360,2014,Shooter,Electronic Arts,870000,380000,20000,110000,1380000
1392,Duke Nukem: Time to Kill,PS,1998,Shooter,Take-Two Interactive,770000,540000,0,70000,1380000
1393,Persona 4: Golden,PSV,2012,Role-Playing,Atlus,460000,340000,380000,210000,1380000
1394,Dead Rising 2,PS3,2010,Action,Capcom,430000,570000,150000,220000,1380000
1395,Hasbro Family Game Night 2,Wii,2009,Misc,Electronic Arts,710000,530000,0,130000,1380000
1396,Disney Princess: Enchanted Journey,Wii,2007,Adventure,Disney Interactive Studios,1240000,40000,0,90000,1380000
1397,Gardening Mama,DS,2009,Puzzle,505 Games,800000,430000,10000,130000,1380000
1398,Dave Mirra Freestyle BMX 2,PS2,2001,Sports,Acclaim Entertainment,670000,530000,0,180000,1380000
1399,Need for Speed: The Run,X360,2011,Action,Electronic Arts,630000,580000,0,150000,1380000
1400,LEGO Indiana Jones: The Original Adventures,PS2,2008,Action,LucasArts,600000,10000,0,760000,1370000
1401,Assassin's Creed: Rogue,PS3,2014,Action,Ubisoft,460000,620000,60000,230000,1370000
1402,Ridge Racer 7,PS3,2006,Racing,Namco Bandai Games,240000,700000,160000,260000,1370000
1403,A Collection of Activision Classic Games for the Atari 2600,PS,1998,Misc,Activision,760000,520000,0,90000,1370000
1404,Forza Horizon 2,XOne,2014,Racing,Microsoft Game Studios,500000,780000,10000,90000,1370000
1405,MotorStorm: Pacific Rift,PS3,2008,Racing,Sony Computer Entertainment,430000,670000,20000,260000,1370000
1406,Sonic Colors,DS,2010,Platform,Sega,740000,500000,10000,130000,1370000
1407,Star Wars Knights of the Old Republic II: The Sith Lords,XB,2004,Role-Playing,Activision,990000,330000,0,50000,1370000
1408,LEGO Harry Potter: Years 1-4,PS3,2010,Action,Warner Bros. Interactive Entertainment,550000,600000,0,220000,1370000
1409,Pocket Monsters Stadium,N64,1998,Strategy,Nintendo,0,0,1370000,0,1370000
1410,NBA 2K15,PS3,2014,Sports,Take-Two Interactive,860000,270000,20000,220000,1360000
1411,Tom Clancy's Ghost Recon 2,XB,2004,Shooter,Ubisoft,860000,450000,0,60000,1360000
1412,Crash Bandicoot 2: N-Tranced,GBA,2003,Platform,Vivendi Games,630000,660000,0,70000,1360000
1413,Burnout Paradise,X360,2008,Racing,Electronic Arts,630000,580000,10000,150000,1360000
1414,SingStar Abba,PS2,2008,Misc,Sony Computer Entertainment,230000,40000,0,1090000,1360000
1415,Gradius,NES,1986,Shooter,Konami Digital Entertainment,270000,80000,1000000,10000,1360000
1416,Dragon Quest III: Soshite Densetsu e...,SNES,1996,Role-Playing,Enix Corporation,0,0,1360000,0,1360000
1417,Centipede,2600,1981,Shooter,Atari,1260000,80000,0,10000,1360000
1418,Yoshi's New Island,3DS,2014,Platform,Nintendo,470000,510000,280000,90000,1360000
1419,Ryse: Son of Rome,XOne,2013,Action,Microsoft Game Studios,820000,420000,0,110000,1360000
1420,Dead to Rights,PS2,2002,Shooter,Electronic Arts,670000,520000,0,170000,1360000
1421,Marvel vs. Capcom 3: Fate of Two Worlds,PS3,2011,Fighting,Capcom,810000,290000,110000,140000,1350000
1422,Dance Dance Revolution (Japan),PS,1999,Simulation,Konami Digital Entertainment,0,0,1260000,90000,1350000
1423,F1 2010,PS3,2010,Racing,Codemasters,250000,760000,80000,270000,1350000
1424,Madden NFL 98,PS,1997,Sports,Electronic Arts,1290000,30000,0,30000,1350000
1425,FIFA Soccer 09,PSP,2008,Sports,Electronic Arts,230000,730000,20000,370000,1350000
1426,Namco Museum DS,DS,2007,Misc,Atari,1180000,10000,60000,90000,1350000
1427,FIFA Soccer 08,PSP,2007,Sports,Electronic Arts,200000,760000,0,390000,1350000
1428,Grand Theft Auto: Chinatown Wars,DS,2009,Action,Take-Two Interactive,590000,570000,50000,140000,1350000
1429,Alan Wake,X360,2010,Action,Microsoft Game Studios,660000,510000,50000,130000,1350000
1430,Battlefield: Bad Company,PS3,2008,Shooter,Electronic Arts,760000,360000,50000,180000,1350000
1431,Mortal Kombat X,XOne,2015,Fighting,Warner Bros. Interactive Entertainment,1000000,210000,0,130000,1350000
1432,Samurai Warriors,PS2,2004,Action,Electronic Arts,220000,50000,1060000,20000,1350000
1433,The Simpsons: Hit & Run,XB,2003,Racing,Vivendi Games,700000,580000,0,70000,1350000
1434,Devil May Cry 4,X360,2008,Action,Capcom,790000,340000,80000,130000,1350000
1435,Tom Clancy's Rainbow Six: Vegas 2,PS3,2008,Shooter,Ubisoft,660000,450000,40000,210000,1350000
1436,Monster Hunter Freedom,PSP,2005,Role-Playing,Capcom,240000,40000,1030000,40000,1350000
1437,Crysis 2,X360,2011,Action,Electronic Arts,700000,500000,20000,120000,1350000
1438,SaGa Frontier,PS,1997,Role-Playing,SquareSoft,150000,40000,1070000,90000,1350000
1439,SingStar Party,PS2,2004,Misc,Sony Computer Entertainment,0,1040000,0,310000,1350000
1440,FIFA Soccer 08,X360,2007,Sports,Electronic Arts,310000,890000,10000,140000,1350000
1441,The ICO & Shadow of the Colossus Collection,PS3,2011,Adventure,Sony Computer Entertainment,670000,370000,130000,170000,1350000
1442,Test Drive,PS2,2002,Racing,Atari,950000,210000,10000,180000,1340000
1443,Mario & Luigi: Partners in Time,DS,2005,Role-Playing,Nintendo,770000,70000,430000,80000,1340000
1444,Lost Planet: Extreme Condition,X360,2006,Shooter,Capcom,1090000,40000,100000,110000,1340000
1445,Mortal Kombat 3,GEN,1994,Fighting,Acclaim Entertainment,1030000,270000,0,40000,1340000
1446,Doom 3,XB,2005,Shooter,Activision,850000,430000,0,60000,1340000
1447,Donkey Kong Jungle Beat,GC,2004,Platform,Nintendo,840000,220000,240000,40000,1340000
1448,Need for Speed Carbon,PS2,2006,Racing,Electronic Arts,1220000,50000,50000,10000,1340000
1449,Max Payne 2: The Fall of Max Payne,PS2,2003,Shooter,Take-Two Interactive,650000,510000,0,170000,1340000
1450,Command & Conquer: Red Alert 2,PC,2000,Strategy,Electronic Arts,1320000,20000,0,0,1340000
1451,MVP Baseball 2004,PS2,2004,Sports,Electronic Arts,1100000,60000,0,180000,1340000
1452,WWE SmackDown vs Raw 2008,PS3,2007,Fighting,THQ,620000,500000,10000,210000,1330000
1453,Ratchet & Clank: Up Your Arsenal (Weekly american sales),PS2,2004,Platform,Sony Computer Entertainment,1270000,50000,0,20000,1330000
1454,Your Shape: Fitness Evolved,X360,2010,Sports,Ubisoft,790000,420000,0,110000,1330000
1455,Rage,PS3,2011,Shooter,Bethesda Softworks,470000,590000,60000,210000,1330000
1456,Skylanders SWAP Force,X360,2013,Platform,Activision,860000,360000,0,110000,1330000
1457,NBA 2K14,PS4,2013,Sports,Take-Two Interactive,890000,310000,10000,120000,1330000
1458,Spider-Man: The Movie,GBA,2002,Action,Activision,920000,350000,10000,50000,1330000
1459,WWF War Zone,N64,1998,Fighting,Acclaim Entertainment,1080000,240000,0,20000,1330000
1460,Tony Hawk's Pro Skater,GB,2000,Sports,Activision,900000,380000,10000,50000,1330000
1461,The Sims: Bustin' Out,GBA,2003,Simulation,Electronic Arts,930000,350000,0,60000,1330000
1462,Triple Play 2001,PS,2000,Sports,Electronic Arts,740000,500000,0,90000,1330000
1463,Metroid Prime 2: Echoes,GC,2004,Shooter,Nintendo,870000,350000,70000,40000,1330000
1464,UFC Undisputed 2010,X360,2010,Fighting,THQ,900000,310000,0,110000,1330000
1465,Final Fantasy X / X-2 HD Remaster,PS3,2013,Role-Playing,Square Enix,430000,400000,320000,180000,1330000
1466,Corvette,PS2,2004,Racing,TDK Mediactive,650000,510000,0,170000,1330000
1467,Petz Wild Animals: Dolphinz,DS,2007,Simulation,Ubisoft,710000,480000,0,130000,1330000
1468,Pokemon Ranger: Guardian Signs,DS,2010,Role-Playing,Nintendo,510000,170000,580000,60000,1330000
1469,Middle-Earth: Shadow of Mordor,XOne,2014,Action,Warner Bros. Interactive Entertainment,720000,500000,10000,100000,1320000
1470,Need for Speed Underground Rivals,PSP,2005,Racing,Electronic Arts,690000,380000,20000,240000,1320000
1471,LEGO Batman: The Videogame,PS3,2008,Action,Warner Bros. Interactive Entertainment,720000,420000,0,190000,1320000
1472,Dark Souls II,PS3,2014,Role-Playing,Namco Bandai Games,400000,360000,400000,170000,1320000
1473,World of Warcraft: Wrath of the Lich King,PC,2008,Role-Playing,Activision,10000,130000,0,1180000,1320000
1474,Kingdom Hearts II,PS3,2014,Role-Playing,Square Enix,520000,430000,180000,190000,1320000
1475,The LEGO Movie Videogame,X360,2014,Action,Warner Bros. Interactive Entertainment,690000,520000,0,110000,1320000
1476,TOCA 2: Touring Cars,PS,1998,Racing,Codemasters,30000,1160000,20000,110000,1320000
1477,Gyromite,NES,1985,Puzzle,Nintendo,730000,160000,400000,30000,1320000
1478,NFL 2K3,PS2,2002,Sports,Atari,1060000,80000,0,180000,1320000
1479,Fighting Force,PS,1997,Fighting,Eidos Interactive,730000,500000,0,90000,1320000
1480,Mega Man Battle Network 4: Red Sun / Blue Moon,GBA,2003,Role-Playing,Capcom,310000,40000,960000,10000,1320000
1481,MAG: Massive Action Game,PS3,2010,Shooter,Sony Computer Entertainment,770000,300000,90000,160000,1320000
1482,Madden NFL 97,PS,1996,Sports,Electronic Arts,730000,500000,0,90000,1320000
1483,Cars 2,DS,2011,Racing,Disney Interactive Studios,720000,440000,40000,120000,1320000
1484,Skylanders Giants,X360,2012,Action,Activision,750000,450000,0,110000,1320000
1485,TNN Motor Sports Hardcore 4x4,PS,1996,Racing,ASC Games,730000,500000,0,90000,1310000
1486,IHRA Drag Racing 2,PS2,2002,Racing,Bethesda Softworks,640000,500000,0,170000,1310000
1487,The Beatles: Rock Band,X360,2009,Misc,MTV Games,970000,230000,0,110000,1310000
1488,Tekken 6,X360,2009,Fighting,Namco Bandai Games,710000,420000,50000,130000,1310000
1489,[Prototype],X360,2009,Action,Activision,840000,350000,0,120000,1310000
1490,Deal or No Deal,Wii,2009,Misc,Zoo Games,1220000,0,0,90000,1310000
1491,Madagascar,PS2,2005,Platform,Activision,780000,450000,0,70000,1310000
1492,Rugrats Studio Tour,PS,1999,Adventure,THQ,570000,670000,0,70000,1310000
1493,LEGO Battles,DS,2009,Strategy,Warner Bros. Interactive Entertainment,810000,380000,0,120000,1310000
1494,Pitfall II: Lost Caverns,2600,1983,Platform,Activision,1220000,70000,0,20000,1310000
1495,Turok: Evolution,PS2,2002,Shooter,Acclaim Entertainment,640000,500000,0,170000,1310000
1496,High School Musical 3: Senior Year DANCE!,Wii,2008,Misc,Disney Interactive Studios,680000,490000,0,130000,1310000
1497,Gold's Gym: Cardio Workout,Wii,2008,Sports,Ubisoft,1110000,40000,60000,90000,1310000
1498,Burnout 3: Takedown,XB,2004,Racing,Electronic Arts,840000,430000,0,40000,1310000
1499,Yu-Gi-Oh! The Sacred Cards,GBA,2002,Role-Playing,Konami Digital Entertainment,940000,350000,0,20000,1300000
1500,Crysis 2,PS3,2011,Action,Electronic Arts,450000,570000,60000,210000,1300000
1501,NBA Live 07,PS2,2006,Sports,Electronic Arts,1070000,40000,20000,170000,1300000
1502,Saints Row IV,PS3,2013,Action,Deep Silver,560000,440000,90000,210000,1300000
1503,SingStar '80s,PS2,2005,Misc,Sony Computer Entertainment,270000,20000,0,1020000,1300000
1504,EA Playground,Wii,2007,Sports,Electronic Arts,690000,480000,0,130000,1300000
1505,Test Drive 5,PS,1997,Racing,Accolade,1050000,200000,0,50000,1300000
1506,Romancing SaGa 3,SNES,1995,Role-Playing,SquareSoft,0,0,1290000,10000,1300000
1507,EA Sports Active 2,Wii,2010,Sports,Electronic Arts,780000,400000,0,110000,1300000
1508,Digimon World,PS,1999,Role-Playing,Namco Bandai Games,560000,380000,280000,80000,1300000
1509,Rise of the Tomb Raider,XOne,2015,Adventure,Square Enix,530000,640000,20000,100000,1300000
1510,Need for Speed Carbon,Wii,2006,Racing,Electronic Arts,460000,660000,20000,150000,1290000
1511,Yoshi's Woolly World,WiiU,2015,Platform,Nintendo,610000,470000,110000,100000,1290000
1512,Mega Man Battle Network 3 Blue / White Version,GBA,2002,Role-Playing,Capcom,390000,20000,850000,30000,1290000
1513,FIFA Street,PS3,2012,Sports,Electronic Arts,110000,920000,0,250000,1290000
1514,Resident Evil Zero,GC,2002,Action,Capcom,540000,270000,450000,40000,1290000
1515,Need for Speed: Most Wanted,X360,2005,Racing,Electronic Arts,1000000,170000,20000,100000,1290000
1516,Tom Clancy's Rainbow Six: Siege,XOne,2015,Shooter,Ubisoft,730000,440000,0,120000,1290000
1517,Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003,Platform,TDK Mediactive,930000,340000,0,20000,1290000
1518,Transformers,PS2,2004,Shooter,Atari,630000,490000,0,160000,1290000
1519,Guitar Hero: Aerosmith,Wii,2008,Misc,Activision,1040000,140000,0,100000,1290000
1520,Mystery Case Files: MillionHeir,DS,2008,Adventure,Nintendo,760000,400000,0,120000,1290000
1521,Valkyria Chronicles,PS3,2008,Role-Playing,Sega,710000,200000,240000,130000,1290000
1522,Midnight Club 3: DUB Edition (America weekly sales),PS2,2005,Racing,Take-Two Interactive,1220000,50000,0,10000,1290000
1523,Champions of Norrath,PS2,2004,Role-Playing,Sony Online Entertainment,630000,490000,0,160000,1280000
1524,Watch Dogs,X360,2014,Action,Ubisoft,720000,450000,10000,110000,1280000
1525,Imagine: Wedding Designer,DS,2008,Simulation,Ubisoft,550000,590000,0,140000,1280000
1526,Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,450000,460000,170000,200000,1280000
1527,Yakuman,GB,1989,Misc,Nintendo,0,0,1280000,0,1280000
1528,Assassin's Creed Syndicate,XOne,2015,Action,Ubisoft,610000,560000,0,110000,1280000
1529,Army Men 3D,PS,1999,Action,3DO,1100000,140000,0,40000,1280000
1530,WWE '13,X360,2012,Action,THQ,720000,450000,0,110000,1280000
1531,Twisted Metal 4,PS,1999,Racing,989 Studios,1070000,160000,0,40000,1280000
1532,Manhunt,PS2,2003,Action,Take-Two Interactive,630000,490000,0,160000,1280000
1533,Kid Icarus: Uprising,3DS,2012,Action,Nintendo,480000,350000,360000,70000,1280000
1534,Silent Hill 2,PS2,2001,Action,Konami Digital Entertainment,620000,490000,0,160000,1280000
1535,Tomb Raider: Underworld,PS3,2008,Action,Eidos Interactive,450000,560000,50000,220000,1270000
1536,Castlevania: Symphony of the Night,PS,1997,Platform,Konami Digital Entertainment,580000,400000,210000,80000,1270000
1537,The Sims 2: Nightlife,PC,2005,Simulation,Electronic Arts,1220000,50000,0,0,1270000
1538,LEGO Batman: The Videogame,PS2,2008,Action,Warner Bros. Interactive Entertainment,720000,30000,0,520000,1270000
1539,Road Rash,PS,1995,Racing,Electronic Arts,710000,480000,0,80000,1270000
1540,Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Role-Playing,Nintendo,440000,300000,470000,60000,1270000
1541,Atlantis,2600,1981,Shooter,Imagic,1180000,80000,0,10000,1270000
1542,NBA 2K9,X360,2008,Sports,Take-Two Interactive,1000000,160000,0,110000,1270000
1543,WWE '12,X360,2011,Fighting,THQ,740000,400000,0,120000,1270000
1544,Tony Hawk's Underground,XB,2003,Sports,Activision,850000,370000,0,50000,1270000
1545,Hogan's Alley,NES,1984,Shooter,Nintendo,680000,160000,410000,20000,1270000
1546,The Elder Scrolls Online,XOne,2015,Role-Playing,Bethesda Softworks,770000,380000,0,120000,1270000
1547,Jillian Michaels' Fitness Ultimatum 2009,Wii,2008,Sports,Deep Silver,960000,200000,0,110000,1270000
1548,.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,490000,380000,260000,130000,1270000
1549,Rockstar Games presents Table Tennis,Wii,2007,Sports,Take-Two Interactive,390000,730000,0,150000,1270000
1550,Sonic Adventure DX: Director's Cut,GC,2003,Platform,Sega,870000,300000,60000,30000,1270000
1551,Jet Li: Rise to Honor,PS2,2004,Action,Sony Computer Entertainment,620000,480000,0,160000,1270000
1552,Battle Arena Toshinden,PS,1994,Fighting,Sony Computer Entertainment,390000,260000,530000,80000,1270000
1553,Yokai Watch 3,3DS,2016,Action,Level 5,0,0,1270000,0,1270000
1554,Kung Fu Panda,DS,2008,Action,Activision,560000,570000,0,140000,1260000
1555,Tamagotchi Connection: Corner Shop,DS,2005,Simulation,Atari,100000,20000,1120000,10000,1260000
1556,Football Manager 2011,PC,2010,Sports,Sega,0,1010000,0,250000,1260000
1557,Devil Dice,PS,1998,Puzzle,THQ,50000,30000,1100000,80000,1260000
1558,Final Fantasy IV,DS,2007,Simulation,Square Enix,540000,50000,620000,50000,1260000
1559,Hyrule Warriors,WiiU,2014,Action,Nintendo,610000,420000,130000,100000,1260000
1560,Need for Speed Carbon,PS3,2006,Racing,Electronic Arts,490000,520000,30000,210000,1260000
1561,Championship Manager 03/04,PC,2003,Sports,Eidos Interactive,0,1150000,0,110000,1260000
1562,Brian Lara Cricket,PS,1998,Sports,Codemasters,20000,1130000,10000,100000,1260000
1563,Ratatouille,DS,2007,Action,THQ,500000,620000,0,140000,1260000
1564,Wheel of Fortune,PS,1998,Misc,Hasbro Interactive,990000,220000,0,40000,1260000
1565,LEGO The Lord of the Rings,X360,2012,Action,Warner Bros. Interactive Entertainment,630000,510000,0,110000,1260000
1566,Winter Sports: The Ultimate Challenge,Wii,2007,Sports,RTL,450000,680000,0,120000,1260000
1567,SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Shooter,Sony Computer Entertainment,940000,170000,20000,130000,1250000
1568,NBA Live 2001,PS,2000,Sports,Electronic Arts,700000,470000,0,80000,1250000
1569,Star Wars: The Force Unleashed,PS2,2008,Action,LucasArts,490000,0,10000,750000,1250000
1570,Tom Clancy's Rainbow Six: Vegas,PS3,2007,Shooter,Ubisoft,470000,530000,30000,220000,1250000
1571,Dragon Ball: Daimaou Fukkatsu,NES,1988,Role-Playing,Namco Bandai Games,0,0,1250000,0,1250000
1572,Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,Namco Bandai Games,0,0,1250000,0,1250000
1573,Reel Fishing,PS,1996,Sports,Natsume,990000,130000,100000,40000,1250000
1574,Injustice: Gods Among Us,PS3,2013,Fighting,Warner Bros. Interactive Entertainment,480000,530000,10000,230000,1250000
1575,Pokemon XD: Gale of Darkness,GC,2005,Role-Playing,Nintendo,710000,190000,310000,30000,1250000
1576,Black,PS2,2006,Shooter,Electronic Arts,1010000,40000,30000,160000,1250000
1577,RollerCoaster Tycoon 2,PC,2002,Strategy,Atari,1190000,50000,0,0,1250000
1578,Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Action,Eidos Interactive,610000,480000,0,160000,1250000
1579,Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004,Action,Ubisoft,520000,560000,0,170000,1250000
1580,Road Rash 3D,PS,1998,Racing,Electronic Arts,1050000,160000,0,40000,1250000
1581,Ratchet: Deadlocked,PS2,2005,Shooter,Sony Computer Entertainment,850000,30000,220000,140000,1240000
1582,Baldur's Gate: Dark Alliance,PS2,2001,Role-Playing,Virgin Interactive,610000,480000,0,160000,1240000
1583,Transformers: Autobots / Decepticons,DS,2007,Action,Activision,1120000,30000,0,90000,1240000
1584,Tales of Xillia,PS3,2011,Role-Playing,Namco Bandai Games,290000,190000,670000,90000,1240000
1585,Diddy Kong Racing DS,DS,2007,Racing,Nintendo,1100000,40000,0,100000,1240000
1586,[Prototype],PS3,2009,Action,Activision,650000,410000,0,190000,1240000
1587,Assassin's Creed: Bloodlines,PSP,2009,Action,Ubisoft,430000,480000,50000,280000,1240000
1588,Oddworld: Abe's Oddysee,PS,1997,Platform,GT Interactive,750000,440000,0,60000,1240000
1589,The Witcher 3: Wild Hunt,XOne,2015,Role-Playing,Namco Bandai Games,660000,470000,0,110000,1240000
1590,Ridge Racer V,PS2,2000,Action,Namco Bandai Games,240000,190000,750000,60000,1240000
1591,WWE SmackDown vs. Raw 2009,PS2,2008,Fighting,THQ,690000,0,0,550000,1240000
1592,Tetris 2 (All region sales),GB,1992,Puzzle,Nintendo,560000,220000,430000,30000,1240000
1593,Star Wars Episode III: Revenge of the Sith,XB,2005,Action,Activision,820000,380000,0,40000,1240000
1594,Ben 10: Protector of Earth,Wii,2007,Action,D3Publisher,550000,550000,0,130000,1230000
1595,Frogger: The Great Quest,PS2,2001,Platform,Konami Digital Entertainment,600000,470000,0,160000,1230000
1596,2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts,300000,640000,70000,220000,1230000
1597,Ninja Gaiden,XB,2004,Action,Microsoft Game Studios,920000,200000,70000,40000,1230000
1598,Crash Bandicoot: The Wrath of Cortex,XB,2002,Platform,Universal Interactive,590000,570000,0,70000,1230000
1599,Driv3r,PS2,2004,Racing,Atari,600000,470000,0,160000,1230000
1600,Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,PS,2003,Misc,Sony Computer Entertainment,690000,470000,0,80000,1230000
1601,Farming Simulator 2015,PC,2014,Simulation,Focus Home Interactive,80000,1020000,0,130000,1230000
1602,Guitar Hero: Aerosmith,X360,2008,Misc,Activision,1000000,140000,0,100000,1230000
1603,Medal of Honor: Airborne,PS3,2007,Shooter,Electronic Arts,250000,700000,30000,250000,1230000
1604,Kirby Tilt 'n' Tumble,GB,2000,Puzzle,Nintendo,290000,170000,750000,20000,1230000
1605,SpongeBob SquarePants: Battle for Bikini Bottom,GBA,2003,Platform,THQ,880000,330000,0,20000,1230000
1606,Vigilante 8,PS,1998,Racing,Activision,680000,470000,0,80000,1230000
1607,Castlevania,NES,1986,Platform,Konami Digital Entertainment,540000,60000,620000,10000,1230000
1608,Donkey Kong Country 2,GBA,2004,Platform,Nintendo,790000,270000,120000,40000,1230000
1609,Bayonetta,PS3,2009,Action,Sega,440000,410000,210000,170000,1230000
